"x1","y1","x2","y2"
3140.090307,-3579.225618,3232.221421,-3471.079832
3140.090307,-3579.225618,3116.581327,-3563.478611
2549.245205,-3574.862498,2530.552636,-3465.524182
2549.245205,-3574.862498,2104.010363,-3440.4406
2798.76452,-3386.515627,2763.965725,-3268.441063
2798.76452,-3386.515627,2695.368827,-3492.189659
2798.76452,-3386.515627,2772.926311,-3392.357946
2195.729792,-3315.650265,2153.012264,-3160.703616
2195.729792,-3315.650265,2361.679753,-3455.242664
2195.729792,-3315.650265,2345.729892,-3253.449167
2739.391112,-3237.841177,2877.700692,-3159.647891
2739.391112,-3237.841177,2763.965725,-3268.441063
2739.391112,-3237.841177,2713.653356,-3100.797762
2158.32181,-3151.15109,2153.012264,-3160.703616
3915.447578,-3293.858891,4158.430096,-3405.015557
4043.1599,-3460.107573,4158.430096,-3405.015557
4043.1599,-3460.107573,3915.447578,-3293.858891
3551.223706,-3213.127021,3399.792235,-3090.400824
4639.540096,-3554.566626,4206.260531,-3576.166358
4639.540096,-3554.566626,4691.003061,-3567.849177
3528.061405,-3152.146043,3399.792235,-3090.400824
3528.061405,-3152.146043,3551.223706,-3213.127021
4403.090919,-3467.500081,4158.430096,-3405.015557
4403.090919,-3467.500081,4665.448135,-3342.615263
3458.809711,-3434.412817,3551.223706,-3213.127021
4397.765527,-3118.031843,4403.090919,-3467.500081
4397.765527,-3118.031843,4630.084424,-3194.855929
3720.765002,-3457.558337,4043.1599,-3460.107573
3720.765002,-3457.558337,3551.223706,-3213.127021
3720.765002,-3457.558337,3458.809711,-3434.412817
5117.110885,-3585.720358,4691.003061,-3567.849177
5117.110885,-3585.720358,5339.736982,-3349.383501
5285.683162,-3206.09567,5339.736982,-3349.383501
5177.537399,-3366.70713,4665.448135,-3342.615263
5177.537399,-3366.70713,5117.110885,-3585.720358
5079.041878,-3165.419231,5285.683162,-3206.09567
5079.041878,-3165.419231,4896.982072,-3120.958225
5292.491967,-3324.657353,5339.736982,-3349.383501
5292.491967,-3324.657353,5285.683162,-3206.09567
5292.491967,-3324.657353,5177.537399,-3366.70713
4781.305867,-2426.19032,4776.568709,-2419.793203
5178.462023,-2706.569321,4996.065912,-2661.219089
5303.312366,-2316.259401,5089.189246,-2295.463785
5454.983123,-2801.720023,5483.40756,-2940.803839
5472.482645,-2565.779062,5454.983123,-2801.720023
5131.368084,-2486.349847,5178.462023,-2706.569321
5131.368084,-2486.349847,5303.312366,-2316.259401
4783.957428,-2822.5623,4630.084424,-3194.855929
4783.957428,-2822.5623,4896.982072,-3120.958225
5379.094102,-2532.040174,5472.482645,-2565.779062
5456.823966,-2441.52256,5379.094102,-2532.040174
5094.320776,-2350.835527,5089.189246,-2295.463785
5322.858608,-2721.824516,5178.462023,-2706.569321
5322.858608,-2721.824516,5454.983123,-2801.720023
5472.366944,-2909.437513,5079.041878,-3165.419231
