,mean_Node_degree,sd_Node_degree,mean_Edge_angle,sd_Edge_angle,mean_Edge_length,sd_Edge_length,mean_Face_area,sd_Face_area,mean_Face_node_count,sd_Face_node_count,ens_location,sample_id
20,2.324324324,1.001500376,99.61256109,56.29641391,0.026612141,0.011870054,0.001510104,0.000826885,6.714285714,3.450327797,middle,mid-sub-WT9-sam-9-1
21,2.822429907,0.625184804,94.23694102,53.64594315,0.020641714,0.012025506,0.000872917,0.000687108,5.696629213,1.674708213,proximal,prox-sub-CYM1-4-sam-1-4-3
22,2.869565217,0.588480589,87.585567,53.14405704,0.032277986,0.016724958,0.002212805,0.001826705,5.761589404,1.846469096,proximal,prox-sub-CYM10-6-sam-10-6-2
23,2.5,0.831209415,99.13335628,53.44797789,0.025801665,0.015199141,0.001451459,0.001279748,6.8,3.707135976,proximal,prox-sub-DYM12-8-sam-12-6-2
24,2.885093168,0.445291409,93.64999249,52.64092106,0.023230245,0.014600448,0.001114538,0.000785199,5.968531469,1.763884055,proximal,prox-sub-DYM22-7-sam-22-7-1
25,2.903654485,0.497346224,85.78661732,50.97390667,0.020213025,0.011488632,0.000829587,0.000606105,5.642335766,1.621261429,proximal,prox-sub-DYM3-6-sam-3-6-2
26,2.861886792,0.553569359,85.51448915,51.83434464,0.019065415,0.010389802,0.000822942,0.000505456,5.980769231,1.832183801,proximal,prox-sub-DYM34-8-sam-34-8-2
27,2.770889488,0.587080745,87.54612706,50.95864063,0.025436648,0.014500627,0.00153579,0.001586467,6.208333333,2.437684904,proximal,prox-sub-DYM34-8-sam-34-8-3-left
28,2.718120805,0.662416115,86.30484577,52.54080478,0.030908084,0.016739555,0.002265591,0.001823392,6.037037037,2.212648119,proximal,prox-sub-DYM34-8-sam-34-8-3-right
29,2.852233677,0.570628722,85.70613683,52.3128326,0.021000586,0.011445298,0.000971753,0.000608133,5.938337802,1.832782251,proximal,prox-sub-DYM34-8-sam-34-8-6
30,2.843065693,0.538301971,86.67739612,49.67297114,0.023493714,0.012939431,0.001176829,0.000780018,5.926724138,1.851352975,proximal,prox-sub-DYM5-7-sam-5-7-2
31,2.765217391,0.639770172,91.26230501,50.74750557,0.036299703,0.025267559,0.002427887,0.003783314,5.723404255,2.28132425,proximal,prox-sub-DYM8-6-sam-6-8-6-001
32,2.884210526,0.480760875,86.25799716,52.04628877,0.037650743,0.022396634,0.002468469,0.001820831,5.372093023,1.633332203,proximal,prox-sub-DYM8-6-sam-6-8-6-002
33,2.436363636,0.876939889,92.07958751,54.99133837,0.022291882,0.013635876,0.001134508,0.000516501,6.153846154,1.573009528,proximal,prox-sub-KF67-2-sam-67-2
34,2.844919786,0.521075572,86.59780429,56.05971191,0.029085744,0.017161269,0.00177909,0.001091884,5.7125,1.415946702,proximal,prox-sub-KYM3-1-sam-3-1-2
35,2.543478261,0.89458743,88.7517607,53.68834927,0.016290128,0.007752052,0.000582418,0.000426265,5.846153846,2.148344622,proximal,prox-sub-VOQM8-1-sam-8-1-1-small
36,2.918469218,0.406212161,94.80387809,54.12015166,0.022288089,0.012814319,0.001114219,0.001063414,5.920577617,1.941399379,proximal,prox-sub-VOQM8-1-sam-8-1-1
