,Node_Count,Convexity,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
52,5,0.999924338,25133.5,794.7323895,1.39821028,0.874663541,0.523546739,9.88707E+11,57.72231057,25078.31518,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
53,13,0.957609097,68383.5,1258.051838,1.242446135,0.506691766,0.735754369,9.18265E+12,67.42031805,68229.85132,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
54,10,0.982551319,85797.5,1204.99157,0.465516312,0.171148902,0.29436741,2.69813E+12,-27.79585752,85819.67628,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
55,8,1,32629.5,686.5995591,0.443678376,0.035710138,0.407968238,75932609156,1.337294371,32665.61808,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
56,3,1,1534,282.1326455,2.754461976,0.309156289,2.445305687,1027194098,-2.367329025,1533.02193,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
57,7,1,41540.5,900.1996376,1.298429993,0.368633803,0.92979619,2.38202E+12,19.79908286,41471.80989,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
58,4,1,6144.5,432.2999891,1.481855656,0.963247554,0.518608103,16269545340,57.41655888,6094.328552,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
59,5,1,3339,260.0187021,0.697105111,0.48750701,0.2095981,700399050.2,37.99024766,3382.344951,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
60,8,1,102808.5,1227.005729,0.251442348,0.07371296,0.177729388,1.29263E+12,-26.55318015,102824.8399,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
61,9,0.996776015,49819,1016.65251,1.100021827,0.619505176,0.480516651,4.547E+12,-57.73290203,49748.81097,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
62,7,0.999970973,62584.5,1036.202884,0.519328124,0.16894765,0.350380474,8.6588E+11,-21.51495802,62344.13531,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
63,6,0.999654928,35648.5,764.1399972,0.580192652,0.214466445,0.365726207,4.27322E+11,30.38363908,35654.74773,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
64,7,1,58357,978.9728632,0.717979909,0.283294995,0.434684914,2.76961E+12,29.99308517,58256.03394,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
65,8,1,64818,1038.977214,0.591707518,0.331032961,0.260674557,4.02092E+12,36.33450849,64795.73214,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
66,7,1,21842,578.3248589,0.212459542,0.14457037,0.067889171,44094039891,-41.3539119,21853.07193,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
67,6,1,35975,792.9405504,0.370655676,0.311820024,0.058835652,4.56527E+11,47.34627966,35955.04811,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
68,6,1,52161.5,909.7412298,0.565757548,0.200839846,0.364917703,1.30411E+12,30.45774812,52128.66533,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
69,5,1,40996.5,850.0548104,0.665089792,0.277411336,0.387678456,7.27451E+11,-60.28049357,40953.87881,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
70,6,1,41431.5,862.368538,0.462818029,0.24325999,0.219558039,4.57151E+11,-55.4628686,41400.85248,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
71,7,0.999742449,82255,1119.344625,0.437390271,0.053386781,0.384003489,1.61344E+12,-72.85491586,82325.04779,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
72,5,1,20543.5,622.3959713,0.682728036,0.281643674,0.401084362,67066591907,64.04557917,20534.27874,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
73,8,1,57462,946.0927785,0.69889018,0.178908817,0.519981363,2.07939E+12,64.686579,57467.75998,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
74,5,1,22647,664.0080157,0.690866315,0.546259564,0.144606751,3.03629E+11,49.12784721,22683.73714,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
75,5,1,24756,738.8889047,1.025187081,0.751396787,0.273790294,7.07232E+11,38.08273181,24836.65124,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
76,6,1,38734,855.1810984,1.116293396,0.469501246,0.64679215,1.84532E+12,27.6299808,38681.75841,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
77,5,1,25427,698.0068615,0.712219351,0.342013631,0.37020572,2.22305E+11,-58.37117062,25435.93181,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
78,4,1,5436,351.9950792,1.201652525,0.799415245,0.40223728,8404216414,34.98688346,5438.901291,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
79,17,0.886326664,172621.5,2404.051573,1.780210294,1.031179815,0.749030479,4.78435E+14,-62.72643788,172692.1708,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
80,5,1,6584,340.7120042,0.582828535,0.210831432,0.371997103,2374737477,60.81327883,6541.189445,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
81,5,1,27665.5,717.6523468,0.91670022,0.469784188,0.446916033,5.01158E+11,31.95852696,27459.1953,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
82,10,1,140050,1479.786523,0.335976455,0.249333259,0.086643196,2.58751E+13,48.3745562,140255.6785,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
83,7,1,33014.5,702.2913846,0.273972677,0.10869087,0.165281807,87153226574,33.22681911,32926.80429,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
84,8,1,47366,866.3616528,0.565809661,0.12523753,0.440572132,5.62271E+11,-20.91056769,47543.16955,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
85,10,0.991392773,137017,1521.837932,0.732895053,0.16872882,0.564166233,2.56267E+13,-22.10325523,136824.1451,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
86,7,1,49710.5,953.4649948,1.0320096,0.357347789,0.674661811,3.05391E+12,64.42548197,49823.37167,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
87,5,1,63271.5,1001.882402,0.312761772,0.081969383,0.230792389,1.87311E+11,89.08627982,63252.68825,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
88,5,0.99994943,27782.5,675.6565127,0.244908687,0.087734721,0.157173966,7903620857,-81.612509,27697.48755,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
89,5,1,24468,680.1564058,1.049319949,0.278958134,0.770361815,3.02555E+11,20.86110729,24398.95005,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
90,12,0.953537237,139627.5,1626.200943,0.534721655,0.479458843,0.055262812,5.34916E+13,46.74109247,139748.2727,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
91,5,0.999828622,27884.5,788.7745442,1.256715536,0.6089169,0.647798636,8.54754E+11,27.73233027,27938.03188,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
92,14,0.941495849,79450.5,1316.436459,1.466524309,0.22071545,1.245808859,1.63335E+13,-0.723958107,79435.2434,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
93,9,0.999847179,78515.5,1125.718949,0.667308694,0.243704997,0.423603697,5.74867E+12,29.54548571,78398.55759,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
94,10,0.988914982,116974.5,1548.461024,1.037322854,0.373249187,0.664073668,3.57148E+13,24.31613826,117121.7716,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
