,area,perim,eccentr,orient,ext,disp,elong,ens_location,sample_id
67,60136.25,780.521,1.37E+13,-40.167,6.039,5.121,0.918,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
68,39019.932,630.576,1.96361E+11,-18.09,5.266,5.149,0.116,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
69,33364.47,608.218,6.41804E+11,19.072,5.454,5.177,0.278,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
70,36297.611,611.891,3.05E+12,-72.607,5.565,5.044,0.521,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
71,18646.064,427.237,2.36294E+11,75.08,5.113,4.702,0.411,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
72,82072.931,990.828,5.72E+13,-87.631,6.7,5.831,0.869,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
73,18341.293,397.391,3.44546E+11,39.412,5.111,4.52,0.591,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
74,22062.714,465.923,8.90004E+11,-29.5,4.935,4.235,0.701,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
75,161396.043,1385.497,5.24E+13,29.769,6.082,5.706,0.376,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
76,60805.372,806.059,1.82E+13,60.985,6.095,5.177,0.918,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
77,13529.109,408.945,2.68893E+11,35.813,4.882,4.213,0.67,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
78,55312.609,755.351,4.02E+12,-58.087,5.718,5.292,0.426,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
79,33657.784,559.599,1.49E+12,31.652,5.438,4.977,0.461,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
80,78149.856,954.498,6.69E+12,10.979,6.039,5.763,0.276,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
81,112898.402,1149.437,1.03E+12,62.991,5.631,5.552,0.078,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
82,118338.46,1146.32,1.64E+14,-2.82,6.355,5.501,0.855,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
83,15295.868,403.777,1.16133E+11,-88.977,5.414,5.083,0.332,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
84,4848.847,213.802,945415414.9,-64.783,4.301,4.154,0.147,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
85,6911.212,246.129,3461996167,-19.574,4.272,4.094,0.178,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
86,30076.145,563.172,3.715E+11,6.994,5.252,4.998,0.254,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
87,26929.894,508.587,84836112874,-46.771,4.861,4.712,0.149,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
88,73475.163,880.861,2.72E+13,60.157,6.09,5.279,0.811,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
89,75388.579,857.501,1.09E+12,86.466,5.783,5.636,0.148,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
90,81818.573,913.036,1.79E+12,61.539,5.7,5.546,0.155,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
91,12044.207,342.339,7956010652,-80.541,4.49,4.366,0.124,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
92,31079.829,544.246,3.41E+12,-28.928,5.699,4.877,0.822,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
93,23478.871,471.826,2.97629E+11,58.435,5.163,4.8,0.364,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
94,96965.492,956.497,1.16E+12,67.779,5.759,5.661,0.098,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
95,60026.257,771.502,1.22E+12,-35.309,5.485,5.281,0.204,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
96,64125.779,786.702,1.08E+13,54.55,5.826,5.29,0.536,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
97,15591.474,413.075,7.83974E+11,87.402,5.291,4.468,0.823,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
98,82487.695,1014.403,9.06E+12,-87.166,5.949,5.639,0.311,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
99,51050.39,685.691,5.61033E+11,-64.693,5.339,5.148,0.191,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
100,271544.626,1708.086,2.90E+14,-21.742,5.945,5.522,0.422,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
101,43277.568,645.598,1.65E+12,-27.387,5.39,5.021,0.37,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
102,42567.198,658.774,2.68607E+11,89.519,5.366,5.229,0.137,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
103,183907.894,1615.119,5.77E+14,-87.311,5.962,5.139,0.823,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
104,64345.764,858.692,3.06E+13,81.18,5.879,5.101,0.778,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
105,24977.523,481.339,7.09771E+11,39.451,5.396,4.885,0.51,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
106,70326.621,850.066,9.79112E+11,-76.082,5.721,5.582,0.139,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
107,34391.07,578.069,2.00055E+11,-75.917,5.113,4.93,0.183,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
108,43217.989,733.791,4.68E+12,-16.99,5.521,5.029,0.492,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
109,51229.128,688.351,3.24E+12,-24.072,5.681,5.275,0.406,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
110,143155.577,1238.007,4.14E+13,-0.82,5.864,5.516,0.348,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
111,92325.173,1017.505,1.72E+13,-17.05,5.806,5.43,0.376,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
112,10593.678,331.939,28173682859,32.363,4.853,4.549,0.304,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
113,76279.979,979.516,2.74E+13,14.664,6.125,5.466,0.659,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
114,86206.825,997.466,2.22E+13,-19.688,6.336,5.908,0.429,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
115,13503.903,383.775,87235851729,74.279,5.187,4.689,0.498,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
116,43653.377,654.403,1.92E+12,-76.697,5.521,5.132,0.389,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
117,72088.796,851.078,2.32E+12,-88.514,5.33,5.118,0.211,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
118,41089.17,668.465,2.5792E+11,74.305,5.727,5.594,0.134,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
