 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
236,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,278022.121,6848.600,2775.170,1702.136,1.000,1.254,0.797,1.907,0,1,1455030,6827.915,1660.295,21393.339,37128.499,2212.361,0.226,-0.218,-1.290,-1.379,82.147,3.887E14,0.040,1.262E-4,2.290E-6,6.346E-7,-1.178E-13,2.863E-9,-7.559E-13,6.365,5.951,0.414,66.032
237,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,51554.090,4535.201,2947.010,696.438,1.000,1.041,0.961,1.697,0,1,427890,4531.529,1447.959,5232.183,4847.042,684.104,0.012,0.193,-1.415,-1.284,37.139,864478742960.443,0.024,1.103E-5,9.529E-7,7.109E-9,-2.242E-16,5.447E-12,5.404E-16,5.428,5.224,0.205,28.364
238,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,144264.805,1322.483,2871.310,1300.035,1.000,1.066,0.938,1.550,0,1,769335,1316.307,1540.601,15391.591,12435.708,2559.285,0.059,-0.062,-1.310,-1.354,29.997,2.688E13,0.036,5.903E-5,1.322E-6,2.468E-8,-4.428E-15,-4.371E-11,5.164E-16,6.135,5.824,0.311,52.343
239,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,98166.175,4035.579,2843.301,1192.890,0.867,1.652,0.605,1.683,0,1,760410,4041.188,1545.149,4829.245,15940.012,1650.185,-0.171,0.222,-1.043,-1.237,81.728,1.022E14,0.027,2.323E-4,1.360E-6,5.494E-7,4.703E-13,7.938E-9,-6.650E-14,6.091,5.182,0.909,69.065
240,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,20038.498,4091.597,2973.505,452.412,1.000,1.011,0.989,1.532,0,1,230010,4083.307,1433.865,2149.866,2261.423,658.859,0.183,0.061,-1.398,-1.506,47.420,402247552905.392,0.019,3.306E-5,2.096E-7,1.388E-8,-6.850E-16,7.758E-11,-3.018E-16,5.320,4.874,0.446,48.214
241,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,40595.035,5337.623,2925.057,623.855,1.000,1.339,0.747,1.659,0,1,327165,5338.368,1483.869,2926.815,5074.586,239.067,0.002,-0.037,-1.352,-1.377,83.725,1.584E12,0.024,4.523E-5,1.223E-9,7.085E-9,2.049E-17,4.419E-11,3.906E-18,5.643,5.236,0.407,41.345
242,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,13065.596,165.783,2979.561,372.975,1.000,1.013,0.987,1.483,0,1,186660,161.527,1419.960,1419.686,1440.319,-4.541,0.133,0.237,-1.469,-1.503,-78.123,94861549.071,0.015,1.459E-8,2.811E-7,1.908E-8,-1.123E-15,-2.278E-12,-8.310E-16,4.629,4.618,0.011,36.317
243,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,39370.995,4886.450,2920.515,624.159,1.000,1.345,0.743,1.668,0,1,316455,4887.017,1487.988,2688.296,5239.515,1107.261,-0.093,-0.099,-1.311,-1.382,69.521,3.612E12,0.025,1.140E-4,1.394E-7,1.014E-7,6.643E-15,7.905E-10,1.006E-14,5.839,5.182,0.657,55.584
244,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,75844.636,613.172,2887.207,860.076,1.000,1.068,0.936,1.627,0,1,481950,610.955,1534.109,7202.046,7697.698,-133.360,0.061,-0.183,-1.325,-1.392,-75.857,152686593582.947,0.031,1.364E-6,2.901E-6,6.669E-9,5.341E-17,-9.935E-13,-9.262E-16,5.684,5.629,0.055,16.109
245,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,31368.890,5151.400,2942.468,586.569,1.000,1.035,0.966,1.596,0,1,306000,5148.689,1454.404,2694.650,2908.706,256.894,0.028,0.171,-1.224,-1.369,56.309,94798386911.748,0.018,3.309E-6,7.768E-7,2.679E-8,-2.046E-15,-1.373E-11,3.278E-15,5.011,4.868,0.144,31.330
246,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,118112.984,2195.307,2771.385,1352.335,0.812,2.230,0.448,1.406,0,1,787950,2201.809,1626.992,5327.202,26494.038,840.074,-0.004,0.058,-1.526,-1.333,87.731,3.553E14,0.040,7.262E-4,1.181E-7,2.046E-7,2.741E-14,5.103E-9,-1.610E-14,6.753,5.591,1.163,68.272
247,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,70357.086,3625.284,2869.039,847.382,1.000,1.383,0.723,1.874,0,1,563040,3618.400,1533.641,4778.200,9622.850,-624.813,0.252,-0.073,-1.177,-1.442,-82.768,1.409E13,0.026,7.896E-5,3.303E-6,8.751E-8,-3.887E-14,-7.211E-10,-2.650E-14,5.787,5.264,0.523,56.692
248,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,67070.057,2584.406,2860.712,827.440,1.000,1.493,0.670,1.794,0,1,505155,2593.426,1545.610,4158.665,9329.454,1261.033,-0.022,0.164,-1.340,-1.295,77.000,1.672E13,0.027,1.297E-4,3.691E-7,1.215E-7,2.567E-14,1.271E-9,-2.015E-15,5.931,5.274,0.657,62.600
249,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,29115.648,3537.472,2900.833,579.069,1.000,1.678,0.596,1.496,0,1,288150,3538.018,1510.986,2038.892,4582.189,-675.126,0.083,-0.133,-1.554,-1.301,-76.018,2.389E12,0.023,9.986E-5,2.499E-8,1.577E-7,3.171E-15,1.570E-9,9.378E-15,5.723,5.051,0.672,61.446
