 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
81,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,10902.482,1620.721,1033.020,333.763,1.000,1.091,0.917,1.456,0,1,147900,1621.285,1190.256,1283.106,1206.535,-213.220,-0.035,0.022,-1.377,-1.596,-39.910,27762954293.058,0.017,8.581E-6,1.338E-8,5.984E-9,-4.744E-17,9.840E-12,-2.482E-17,4.985,4.731,0.254,50.382
82,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,14224.619,1978.188,1033.020,435.964,0.940,1.613,0.620,1.390,0,1,198135,1975.608,1195.312,2330.836,959.829,332.604,0.251,-0.171,-1.305,-1.530,12.941,460101622187.002,0.017,5.915E-5,1.738E-7,1.022E-7,9.062E-15,2.638E-10,1.017E-14,5.283,4.560,0.723,54.637
83,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,18407.116,688.428,985.307,471.340,1.000,1.592,0.628,1.349,0,1,247095,687.601,1241.828,1401.186,3772.041,133.973,0.218,-0.081,-1.594,-1.524,86.776,1.407E12,0.021,9.324E-5,1.213E-7,3.743E-8,-2.351E-15,-2.191E-10,-9.108E-16,5.615,4.895,0.720,54.643
84,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,9285.005,1895.638,1012.572,290.160,1.000,1.246,0.803,1.774,0,1,172635,1900.130,1209.457,705.159,1254.436,113.043,-0.272,0.040,-1.308,-1.488,78.814,60909027802.293,0.011,1.184E-5,9.724E-8,2.359E-9,1.288E-17,8.106E-12,-3.332E-17,4.567,4.115,0.451,48.615
85,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,33159.423,220.388,974.705,666.602,0.938,1.536,0.651,1.396,0,1,318240,235.938,1252.005,4842.591,2024.168,-312.964,-0.197,0.032,-1.304,-1.473,-6.261,2.653E12,0.022,8.230E-5,7.367E-7,4.343E-8,7.528E-15,3.932E-10,1.919E-15,5.618,4.971,0.647,58.247
86,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,98365.536,1744.168,898.213,1078.241,1.000,1.139,0.878,1.421,0,1,584205,1739.208,1321.253,12344.725,10190.012,-2688.122,0.005,0.058,-1.366,-1.624,-34.080,1.960E13,0.039,9.829E-5,3.491E-6,3.747E-7,-3.721E-13,2.630E-9,-2.126E-13,6.280,5.900,0.379,49.125
87,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,31670.426,1489.700,946.683,661.976,0.908,1.026,0.975,1.179,0,1,305745,1490.416,1271.540,4350.372,3998.714,360.431,-0.003,0.400,-1.543,-1.508,31.998,196687357229.576,0.027,6.882E-6,3.929E-7,3.921E-7,1.537E-13,-1.391E-10,-8.382E-15,5.584,5.445,0.139,36.216
88,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,35584.491,1104.968,949.712,695.299,0.925,1.282,0.780,1.190,0,1,317730,1106.619,1277.475,5676.568,4029.521,206.088,-0.022,-0.078,-1.491,-1.770,7.025,915905218492.025,0.031,2.855E-5,2.654E-7,5.764E-8,-5.918E-15,2.802E-10,3.973E-15,5.846,5.591,0.255,45.215
89,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,11508.176,939.109,957.286,387.126,0.965,1.152,0.868,1.575,0,1,167025,939.164,1279.132,1277.396,981.099,-297.288,0.153,-0.469,-1.324,-1.268,-31.756,73710320444.786,0.014,1.582E-5,4.642E-7,8.536E-8,-1.682E-14,3.124E-10,-2.371E-15,4.809,4.372,0.437,52.360
90,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,34065.669,2005.453,914.874,647.107,1.000,1.103,0.906,1.219,0,1,342720,2009.003,1305.686,5096.068,4438.607,260.943,-0.073,0.184,-1.622,-1.688,19.221,241487607358.498,0.028,5.999E-6,4.339E-8,1.227E-7,-4.662E-15,-3.005E-10,-7.644E-15,5.600,5.473,0.127,28.776
