"x","y"
1269.08938951416,-1100.47314912112
1301.45522483036,-1169.18631818252
1273.72856103996,-1059.68617067096
1293.45978547331,-1302.09931132904
1250.62407607901,-1053.55713327938
1318.69066300918,-1103.07367790336
1337.77477938686,-1119.32842365003
1235.95876054083,-1133.9864807129
1326.03434952616,-1198.96531104188
1201.10963827161,-1123.17748296212
1347.54428256019,-1163.69112468812
1247.65060591191,-1262.64816145565
1308.98868896848,-1168.59946158784
1298.60597826711,-1180.32187328395
1322.68999677417,-1187.43164422671
1326.5380808833,-1255.25786360792
1413.29533719288,-1168.97627778838
1283.33999746506,-1125.07773886015
1254.5873164725,-1178.30675286559
1229.2124638694,-1214.46028915425
1292.45866221228,-1144.68070022771
1277.93553763956,-1131.50159876452
1343.63460308589,-1195.70800502944
1267.53151313236,-1067.86669245749
1319.53197695718,-1095.04042072048
1346.9891264892,-1227.74506778351
1321.57646709543,-1188.16139562429
1311.79845405171,-1108.74579773615
1349.96592855261,-1199.13882569817
1249.5948607742,-1154.22462978801
1373.63301064771,-1219.77227447251
1292.44026830502,-1124.96254218882
1358.0646408876,-1062.79603194581
1286.51408172248,-1072.9435686332
1286.57129927597,-1158.29201104085
1252.39656207477,-1163.2355245286
1266.81785808953,-1108.66949566488
1268.01107213825,-1047.05726840646
1400.27337080837,-1167.83385219234
1348.16152152693,-1052.60785080323
1440.42241445963,-1126.96363547109
1350.31630891369,-1139.5434890254
1271.99818143116,-1177.57733228998
1395.79238696527,-1166.92475350517
1285.39022605234,-1200.79955045874
1302.67090814558,-1125.42780645732
1347.84171673476,-1167.03838748893
1251.57490149492,-1235.79159131623
1272.89415710542,-1062.3255166281
1261.37563323733,-1199.53341464089
1315.84116329026,-1109.3024556205
1277.99521754827,-1162.82560460948
1254.03464714628,-1210.96443870727
1315.39435550268,-1128.01240651171
1261.98943623834,-1215.41359033206
1450.1283849936,-1143.35130214085
1304.68853094377,-1057.66814409934
1256.41364811663,-1040.02720838666
1258.54166208105,-1177.49599865135
1238.91257052677,-1195.69739636076
1265.06976475373,-1087.49969181688
1383.43241803256,-1216.8782383919
1345.95486620389,-1112.95188966609
1274.80304762198,-1200.08376855264
1245.78688632663,-1117.40085514272
1271.79268935257,-1123.46786615887
1281.26301345276,-1118.50435969549
1410.21813280039,-1162.5430249194
1355.80677566138,-1047.2681142304
1268.29050135367,-1206.82181170068
1344.63335297614,-1176.65804822702
1323.99873680396,-1135.16407395892
